plaintext_url,title,author,reading_level,ebook_no,language,most_recently_updated,book_page_url
https://books.flotwiskunde.nl/ebooks/books/84.txt,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley","Shelley, Mary Wollstonecraft, 1797-1851",Reading ease score: 65.0 (8th & 9th grade). Neither easy nor difficult to read.,84,English,"Sep 8, 2025",https://books.flotwiskunde.nl/ebooks/84
https://books.flotwiskunde.nl/ebooks/books/2701.txt,"Moby Dick; Or, The Whale by Herman Melville","Melville, Herman, 1819-1891",Reading ease score: 73.3 (7th grade). Fairly easy to read.,2701,English,"Sep 11, 2025",https://books.flotwiskunde.nl/ebooks/2701
https://books.flotwiskunde.nl/ebooks/books/1342.txt,Pride and Prejudice by Jane Austen,"Austen, Jane, 1775-1817",Reading ease score: 69.2 (8th & 9th grade). Neither easy nor difficult to read.,1342,English,"Sep 22, 2025",https://books.flotwiskunde.nl/ebooks/1342
https://books.flotwiskunde.nl/ebooks/books/1513.txt,Romeo and Juliet by William Shakespeare,"Shakespeare, William, 1564-1616",Reading ease score: 92.6 (5th grade). Very easy to read.,1513,English,"Sep 18, 2025",https://books.flotwiskunde.nl/ebooks/1513
https://books.flotwiskunde.nl/ebooks/books/26184.txt,Simple Sabotage Field Manual by United States. Office of Strategic Services,United States. Office of Strategic Services,Reading ease score: 60.5 (8th & 9th grade). Neither easy nor difficult to read.,26184,English,"Feb 5, 2025",https://books.flotwiskunde.nl/ebooks/26184
https://books.flotwiskunde.nl/ebooks/books/100.txt,The Complete Works of William Shakespeare by William Shakespeare,"Shakespeare, William, 1564-1616",Reading ease score: 83.0 (6th grade). Easy to read.,100,English,"Aug 24, 2025",https://books.flotwiskunde.nl/ebooks/100
https://books.flotwiskunde.nl/ebooks/books/2641.txt,A Room with a View by E. M. Forster,"Forster, E. M. (Edward Morgan), 1879-1970",Reading ease score: 84.8 (6th grade). Easy to read.,2641,English,"Aug 11, 2025",https://books.flotwiskunde.nl/ebooks/2641
https://books.flotwiskunde.nl/ebooks/books/43.txt,The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,"Stevenson, Robert Louis, 1850-1894",Reading ease score: 75.4 (7th grade). Fairly easy to read.,43,English,"Apr 12, 2025",https://books.flotwiskunde.nl/ebooks/43
https://books.flotwiskunde.nl/ebooks/books/145.txt,Middlemarch by George Eliot,"Eliot, George, 1819-1880",Reading ease score: 68.5 (8th & 9th grade). Neither easy nor difficult to read.,145,English,"Sep 7, 2025",https://books.flotwiskunde.nl/ebooks/145
https://books.flotwiskunde.nl/ebooks/books/11.txt,Alice's Adventures in Wonderland by Lewis Carroll,"Carroll, Lewis, 1832-1898",Reading ease score: 87.5 (6th grade). Easy to read.,11,English,"Jun 26, 2025",https://books.flotwiskunde.nl/ebooks/11
https://books.flotwiskunde.nl/ebooks/books/37106.txt,"Little Women; Or, Meg, Jo, Beth, and Amy by Louisa May Alcott","Alcott, Louisa May, 1832-1888",Reading ease score: 75.2 (7th grade). Fairly easy to read.,37106,English,"Sep 24, 2025",https://books.flotwiskunde.nl/ebooks/37106
https://books.flotwiskunde.nl/ebooks/books/2554.txt,Crime and Punishment by Fyodor Dostoyevsky,"Dostoyevsky, Fyodor, 1821-1881",Reading ease score: 83.0 (6th grade). Easy to read.,2554,English,"Jan 10, 2026",https://books.flotwiskunde.nl/ebooks/2554
https://books.flotwiskunde.nl/ebooks/books/768.txt,Wuthering Heights by Emily BrontÃ«,"BrontÃ«, Emily, 1818-1848",Reading ease score: 78.8 (7th grade). Fairly easy to read.,768,English,"Jan 18, 2022",https://books.flotwiskunde.nl/ebooks/768
https://books.flotwiskunde.nl/ebooks/books/1260.txt,Jane Eyre: An Autobiography by Charlotte BrontÃ«,"BrontÃ«, Charlotte, 1816-1855",Reading ease score: 77.4 (7th grade). Fairly easy to read.,1260,English,"Sep 27, 2025",https://books.flotwiskunde.nl/ebooks/1260
https://books.flotwiskunde.nl/ebooks/books/67979.txt,The Blue Castle: a novel by L. M. Montgomery,"Montgomery, L. M. (Lucy Maud), 1874-1942",Reading ease score: 84.8 (6th grade). Easy to read.,67979,English,"Sep 23, 2025",https://books.flotwiskunde.nl/ebooks/67979
